-0.396, -0.89, 0.041, 0.033, 0.053, 0.027
-0.396, -0.89, 0.041, 0.051, 0.055, -0.001
-0.396, -0.89, 0.041, 0.066, 0.037, 0.079
-0.396, -0.89, 0.041, -0.043, -0.091, -0.004
-0.396, -0.89, 0.041, 0.02, 0.039, 0.031
-0.396, -0.89, 0.041, 0.047, 0.115, 0.111
-0.396, -0.89, 0.041, 0.08, 0.089, -0.067
-0.396, -0.89, 0.041, 0.044, 0.044, 0.018
-0.396, -0.89, 0.041, 0.025, 0.0, -0.002
-0.396, -0.89, 0.041, 0.075, 0.0, -0.024
-0.396, -0.89, 0.041, 0.008, -0.003, 0.001
-0.396, -0.89, 0.041, 0.076, 0.005, -0.028
-0.396, -0.89, 0.041, 0.056, 0.102, 0.108
-0.396, -0.89, 0.041, 0.029, 0.027, 0.027
-0.396, -0.89, 0.041, 0.046, 0.059, -0.01
-0.396, -0.89, 0.041, 0.017, 0.083, 0.136
-0.396, -0.89, 0.041, 0.031, 0.125, 0.14
-0.396, -0.89, 0.041, 0.003, 0.02, -0.023
-0.396, -0.89, 0.041, 0.018, 0.112, 0.157
-0.396, -0.89, 0.041, 0.037, 0.057, 0.18
-0.396, -0.89, 0.041, 0.022, 0.014, 0.026
-0.396, -0.89, 0.041, 0.048, 0.061, 0.011
-0.396, -0.89, 0.041, 0.06, 0.069, -0.032
-0.396, -0.89, 0.041, -0.01, -0.001, -0.005
-0.396, -0.89, 0.041, 0.011, -0.005, 0.002
-0.396, -0.89, 0.041, -0.003, -0.001, 0.005
-0.396, -0.89, 0.041, 0.035, 0.088, 0.159
-0.396, -0.89, 0.041, 0.017, 0.033, 0.024
-0.396, -0.89, 0.041, 0.103, 0.119, 0.129
-0.396, -0.89, 0.041, 0.057, 0.046, 0.008
-0.396, -0.89, 0.041, -0.004, 0.008, 0.018
-0.396, -0.89, 0.041, 0.019, 0.025, -0.005
-0.396, -0.89, 0.041, 0.028, 0.036, 0.094
-0.396, -0.89, 0.041, 0.092, 0.113, 0.095
-0.396, -0.89, 0.041, 0.051, 0.038, -0.007
-0.396, -0.89, 0.041, 0.009, 0.012, 0.019
-0.396, -0.89, 0.041, 0.05, 0.063, -0.022
-0.396, -0.89, 0.041, -0.004, 0.022, 0.017
-0.396, -0.89, 0.041, 0.058, 0.051, -0.032
-0.396, -0.89, 0.041, 0.041, 0.054, -0.046
-0.396, -0.89, 0.041, 0.012, 0.007, -0.011
-0.396, -0.89, 0.041, -0.002, 0.055, -0.023
-0.396, -0.89, 0.041, 0.024, 0.018, 0.014
-0.396, -0.89, 0.041, 0.086, 0.09, -0.019
-0.396, -0.89, 0.041, 0.072, 0.051, -0.003
-0.396, -0.89, 0.041, 0.006, 0.0, 0.0
-0.396, -0.89, 0.041, 0.023, 0.025, -0.023
-0.396, -0.89, 0.041, 0.008, -0.009, -0.001
-0.396, -0.89, 0.041, 0.046, 0.035, -0.018
-0.396, -0.89, 0.041, 0.061, 0.051, -0.022
-0.396, -0.89, 0.041, 0.033, 0.094, 0.194
-0.396, -0.89, 0.041, 0.027, 0.014, 0.023
-0.396, -0.89, 0.041, 0.048, 0.072, 0.166
-0.396, -0.89, 0.041, 0.081, 0.067, -0.03
